#sizeIlist(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
         1207451	    0.000000000	    0.000000000	           1979	              1	#index_wiki_100mb_named
         1999852	            inf	            inf	              0	              0	#index_torsen_200mb_named2
